"filename", "language", "TypeScript", "JSON", "YAML", "Markdown", "JSON with Comments", "Shell Script", "Skill", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/contexts/InboxContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 3, 24, 178
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/contexts/PreviewContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 1, 23, 156
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/contexts/SidebarContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/contexts/ToastContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 15, 84
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/contexts/UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 12, 56
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/hooks/useAgentConfig.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 82
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/hooks/useChat.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 41, 313
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/hooks/useMcp.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28, 175
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/hooks/useSkills.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/i18n/en.json", "JSON", 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 291
